venue;rank;title;authors;year;doi;subfield AI;application domain;use case;problem;architecture;note on architecture
MICCAI;A;Disentangled Sequential Graph Autoencoder for Preclinical Alzheimer's Disease Characterizations from ADNI Study.;Fan Yang, Rui Meng, Hyuna Cho, Guorong Wu 0001, Won Hwa Kim;2021;10.1007/978-3-030-87196-3_34;Image;Neuroscience;disentangle time-dependent from content features in videos;;Recurrent Graph Variational Autoencoder;
NeurIPS;A*;Contrastively Disentangled Sequential Variational Autoencoder.;Junwen Bai, Weiran Wang, Carla P. Gomes;2021;;Audio / Video;Research;disentangle time-dependent from content features in videos;self-supervised learning;Recurrent Variational Autoencoder;
ICML;A*;Demystifying Inductive Biases for (Beta-)VAE Based Architectures.;Dominik Zietlow, Michal Rolínek, Georg Martius;2021;;Image;Research;Understand inductive bias of disentangled VAE architectures;unsupervised representation;Beta-VAE;
ICIP;B;Online Learning for Beta-Liouville Hidden Markov Models: Incremental Variational Learning for Video Surveillance and Action Recognition.;Samr Ali, Nizar Bouguila;2020;10.1109/ICIP40778.2020.9191144;;;;;;
MICCAI;A;Disentangled Intensive Triplet Autoencoder for Infant Functional Connectome Fingerprinting.;Dan Hu, Fan Wang, Han Zhang 0002, Zhengwang Wu, Li Wang 0026, Weili Lin, Gang Li 0001, Dinggang Shen;2020;10.1007/978-3-030-59728-3_8;Image;Neuroscience;Understand functioning of brain;;Adverserial Autoencoder;
ICONIP;B;Learning Disentangled Representations with Attentive Joint Variational Autoencoder.;Wen-tao Li, Jianwei Liu 0006, Xiu-yan Chen, Xiong-Lin Luo;2020;10.1007/978-3-030-63823-8_47;;;;;;
IJCAI;A*;Disentangled Variational Autoencoder based Multi-Label Classification with Covariance-Aware Multivariate Probit Model.;Junwen Bai, Shufeng Kong, Carla P. Gomes;2020;10.24963/IJCAI.2020/595;Multiple;Research;;supervised classification;Beta-VAE;
AAAI;A*;Probabilistic Logic Programming with Beta-Distributed Random Variables.;Federico Cerutti 0001, Lance M. Kaplan, Angelika Kimmig, Murat Sensoy;2019;10.1609/AAAI.V33I01.33017769;;;;;;
ICML;A*;Disentangled Sequential Autoencoder.;Yingzhen Li, Stephan Mandt;2018;;Audio / Video;Research;disentangle time-dependent from content features in videos;unsupervised representation;Recurrent Variational Autoencoder;
AAAI;A*;Multi-Level Variational Autoencoder: Learning Disentangled Representations From Grouped Observations.;Diane Bouchacourt, Ryota Tomioka, Sebastian Nowozin;2018;10.1609/AAAI.V32I1.11867;Image;Research;learn disentangled representation of grouped data;unsupervised representation;Variational Autoencoder;
